,"Biodiffusor","Bioirrigator","No_bioturbation","Surface_modifier","Large","Medium","Small","None","Permanent","Deposit_feeder","Filter_suspension","Grazer_scraper","Omnivore","Predator","Scavenger_opportunist","Sub.surface_deposit_feeder","Mobile","Sessile_attached","Hard","Hard_exoskeleton","Hard_shell","Irregular","Round","Fragile_Soft","Vermiform","Burrower","Crawler","None.1","Swimmer","Attached_sessile","Burrower.1","Free.living_Surface_crawler","Tube_dwelling","Attached","Bentho.pelagic","Deeper_than_3cm","Surface_shallow_Less_3cm","Pelagic.planktotrophic","Pelagic_lecthrotophic","Benthic","Brooder_Direct_developer","No_larvae","Les_1year","X1.3_years","X3.10_years","Sexual_pelagic_shed_eggs","Sexual_benthic_shed_eggs","Sexual_encapsulation_.gelatinous.mass.","Sexual_ovigerous_broad_eggs","Asexual","Sexual_direct_development","Annual","Continuos","Seasonal"
"Acanthochitona sp.",0,0,0,4,0,4,0,4,0,0,0,4,0,0,0,0,4,0,0,0,2,2,0,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0,4,0,0,0,0,4,0,4,0,0,0,0,0,4,0,0
"Acanthochitona sueurii",0,0,0,4,0,4,0,4,0,0,0,4,0,0,0,0,4,0,0,0,2,2,0,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0,4,0,0,0,0,4,0,4,0,0,0,0,0,4,0,0
"Acrosterigma cygnorum",0,2,0,2,4,0,0,4,0,0,4,0,0,0,0,0,4,0,0,0,2,2,0,0,0,4,0,0,0,0,2,2,0,0,2,0,2,4,0,0,0,0,0,0,4,4,0,0,0,0,0,4,0,0
"Aglaophamus australiensis",0,4,0,0,4,0,0,4,0,0,0,0,0,3,0,1,4,0,0,0,0,0,0,2,2,2,1,0,1,0,4,0,0,0,0,4,0,4,0,0,0,0,0,0,4,4,0,0,0,0,0,4,0,0
"Amaryllididae",0,0,0,4,0,3,1,4,0,0,1,0,0,1,1,1,4,0,0,0,0,2,0,2,0,0,4,0,0,0,2,2,0,0,2,0,2,0,0,0,4,0,2,2,0,0,0,0,4,0,0,4,0,0
"Amblypneustes ovum",0,0,0,4,2,2,0,4,0,0,0,4,0,0,0,0,4,0,0,0,2,2,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0,4,0,0,0,0,0,2,2,4,0,0,0,0,0,0,0,4
"Amblypneustes pallidus",0,0,0,4,2,2,0,4,0,0,0,4,0,0,0,0,4,0,0,0,2,2,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0,4,0,0,0,0,0,2,2,4,0,0,0,0,0,0,0,4
"Ampeliscidae",0,0,0,4,0,3,1,4,0,0,1,0,0,1,1,1,4,0,0,0,0,2,0,2,0,0,4,0,0,0,2,2,0,0,2,0,2,0,0,0,4,0,2,2,0,0,0,0,4,0,0,4,0,0
"Ampharetidae",0,4,0,0,2,2,0,4,0,2,2,0,0,0,0,0,4,0,0,0,0,0,0,2,2,0,4,0,0,0,0,0,4,0,0,4,0,2,2,0,0,0,2,2,0,0,2,0,2,0,0,4,0,0
"Amphibalanus amphitrite",0,0,0,4,4,0,0,0,4,0,4,0,0,0,0,0,0,4,0,2,0,2,0,0,0,0,0,4,0,4,0,0,0,4,0,0,0,4,0,0,0,0,0,4,0,0,0,0,4,0,0,0,4,0
"Amphinomidae",0,4,0,0,1,3,0,4,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,2,2,0,4,0,0,0,0,4,0,0,2,0,2,0,0,0,4,0,0,4,0,0,0,0,4,0,0,4,0,0
"Amphipholis squamata",0,4,0,0,0,0,4,4,0,0,0,2,0,2,0,0,4,0,0,0,0,2,0,2,0,0,4,0,0,0,0,4,0,0,4,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0,0,4
"Amphipoda",0,0,0,4,0,2,2,4,0,0,1,0,0,0,2,1,4,0,0,0,0,2,0,2,0,1,0,0,3,0,2,2,0,0,2,0,2,0,0,0,0,4,2,2,0,0,0,0,4,0,0,4,0,0
"Amphoroidella elliptica",0,4,0,0,2,2,0,4,0,1,1,1,0,0,1,0,4,0,0,2,0,2,0,0,0,0,4,0,0,0,2,2,0,0,0,2,2,0,0,0,4,0,4,0,0,0,0,0,4,0,0,0,4,0
"Ampithoidae",0,0,0,4,0,3,1,4,0,0,1,0,0,1,1,1,4,0,0,0,0,2,0,2,0,0,4,0,0,0,2,2,0,0,2,0,2,0,0,0,4,0,2,2,0,0,0,0,4,0,0,0,4,0
"Anapella cycladea",0,2,0,2,1,3,0,4,0,2,2,0,0,0,0,0,4,0,0,0,2,2,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0,4,0,0,0,0,0,0,4,0,4,0,0,0,0,4,0,0
"Antarcturidae",0,0,0,4,0,4,0,4,0,2,2,0,0,0,0,0,4,0,0,0,0,2,0,2,0,0,4,0,0,0,0,4,0,0,2,0,2,0,0,0,4,0,2,2,0,0,0,0,4,0,0,0,4,0
"Antheluridae",0,2,0,2,0,4,0,4,0,0,0,0,0,4,0,0,4,0,0,0,0,2,0,2,0,0,4,0,0,0,1,2,1,0,0,0,4,0,0,0,4,0,2,2,0,0,0,0,4,0,0,0,4,0
"Anthopleura hermaphroditica",0,0,0,4,2,2,0,0,4,0,4,0,0,0,0,0,0,4,0,0,0,2,0,2,0,0,0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,4,4,0,0
"Anthozoa",0,0,0,4,2,2,0,0,4,0,4,0,0,0,0,0,0,4,0,0,0,2,0,2,0,0,0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,4,4,0,0
"Anthuridae",0,0,4,0,0,4,0,4,0,0,0,0,0,1,3,0,4,0,0,0,0,2,0,2,0,0,4,0,0,0,0,4,0,0,4,0,0,0,0,0,4,0,0,4,0,0,0,0,4,0,0,0,4,0
"Aoridae",0,0,0,4,0,3,1,4,0,0,3,1,0,0,0,0,4,0,0,0,0,2,0,2,0,0,4,0,0,0,2,2,0,0,2,0,2,0,0,0,4,0,2,2,0,0,0,0,4,0,0,0,4,0
"Aphroditidae",0,4,0,0,3,1,0,4,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,2,2,2,2,0,0,0,1,3,0,0,2,0,2,1,1,2,0,0,0,1,3,1,1,1,1,0,0,4,0,0
"Aplidium sp.",0,0,0,4,4,0,0,0,4,0,4,0,0,0,0,0,0,4,0,0,0,2,0,2,0,0,0,4,0,4,0,0,0,4,0,0,0,0,0,2,2,0,0,0,4,0,0,0,4,0,0,0,4,0
"Aplysia sp.",0,0,4,0,0,4,0,4,0,0,0,4,0,0,0,0,4,0,0,0,2,2,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0,0,4,0,0,0,0,4,0,0,4,0,0,0,0,0,4,0
"Apseudidae",0,0,0,4,0,2,2,4,0,0,1,0,0,3,0,0,4,0,0,2,0,2,0,0,0,0,4,0,0,0,2,2,0,0,2,0,2,0,0,0,4,0,0,2,2,0,0,0,4,0,0,0,4,0
"Arenicolidae",0,4,0,0,4,0,0,4,0,3,1,0,0,0,0,0,4,0,0,0,0,0,0,0,4,4,0,0,0,0,4,0,0,0,0,4,0,0,2,0,1,1,0,2,2,0,0,1,1,0,2,4,0,0
"Aristiidae",0,0,0,4,0,2,2,4,0,0,1,0,0,1,1,1,4,0,0,0,0,2,0,2,0,0,4,0,0,0,2,2,0,0,2,0,2,0,0,0,4,0,2,2,0,0,0,0,4,0,0,4,0,0
"Arthritica semen",4,0,0,0,0,0,4,4,0,2,2,0,0,0,0,0,4,0,0,0,2,0,2,0,0,4,0,0,0,0,4,0,0,0,0,2,2,0,0,0,4,0,0,4,0,0,0,0,0,0,4,4,0,0
"Ascidia sp.",0,0,0,4,4,0,0,0,4,0,4,0,0,0,0,0,0,4,0,0,0,2,0,2,0,0,0,4,0,4,0,0,0,4,0,0,0,0,2,0,2,0,0,4,0,2,0,0,2,0,0,0,0,4
"Ascidiacea ",0,0,0,4,4,0,0,0,4,0,4,0,0,0,0,0,0,4,0,0,0,2,0,2,0,0,0,4,0,4,0,0,0,4,0,0,0,0,0,2,2,0,0,0,4,0,0,0,4,0,0,4,0,0
"Atactodea cuneata",0,2,0,2,4,0,0,4,0,2,2,0,0,0,0,0,4,0,0,0,2,2,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0,4,0,0,0,0,0,0,4,0,4,0,0,0,0,4,0,0
"Australonereis ehlersi",0,4,0,0,4,0,0,4,0,0,0,0,0,2,0,2,4,0,0,0,0,0,0,2,2,4,0,0,0,0,4,0,0,0,0,4,0,2,0,2,0,0,0,4,0,0,0,0,4,0,0,4,0,0
"Australostichopus mollis",0,4,0,0,4,0,0,4,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,2,2,0,4,0,0,0,0,4,0,0,4,0,0,4,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,4
"Austrocochlea constricta",0,0,0,4,3,1,0,4,0,0,0,4,0,0,0,0,4,0,0,0,2,2,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0,0,4,0,0,0,0,0,4,0,0,4,0,0,0,4,0,0
"Austrominius adelaidae",0,0,0,4,0,0,4,0,4,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,0,0,4,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0
"Balanus sp.",0,0,0,4,4,0,0,0,4,0,4,0,0,0,0,0,0,4,0,2,0,2,0,0,0,0,0,4,0,4,0,0,0,0,4,0,0,2,2,0,0,0,0,2,2,0,0,0,4,0,0,4,0,0
"Bassina sp.",0,0,0,4,4,0,0,4,0,0,4,0,0,0,0,0,4,0,0,0,2,2,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0,4,0,0,0,0,0,0,4,4,0,0,0,0,0,4,0,0
"Bedeva paivae",0,0,0,4,0,4,0,4,0,0,0,0,0,4,0,0,4,0,0,0,2,2,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0,1,0,0,3,0,0,0,4,0,0,4,0,0,0,4,0,0
"Bedeva vinosa",0,0,4,0,1,3,0,4,0,0,0,0,0,4,0,0,4,0,0,0,2,2,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0,4,0,0,0,0,0,4,0,0,2,2,0,0,0,4,0,0
"Bellidilia laevis",0,4,0,0,4,0,0,4,0,0,0,0,0,2,2,0,4,0,0,2,0,2,0,0,0,0,4,0,0,0,2,2,0,0,3,0,1,0,0,0,4,0,0,2,2,0,0,0,4,0,0,4,0,0
"Bellidilia undecimspinosa",0,4,0,0,4,0,0,4,0,0,0,0,0,2,2,0,4,0,0,2,0,2,0,0,0,0,4,0,0,0,1,3,0,0,3,0,1,0,0,0,4,0,0,2,2,0,0,0,4,0,0,4,0,0
"Bembicium nanum",0,0,0,4,3,1,0,4,0,0,0,4,0,0,0,0,4,0,0,0,2,2,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0,4,0,0,0,0,0,0,4,0,0,4,0,0,0,4,0,0
"Bembicium vittatum",0,0,0,4,3,1,0,4,0,0,0,4,0,0,0,0,4,0,0,0,2,2,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0,4,0,0,0,0,0,0,4,0,0,4,0,0,0,4,0,0
"Biffarius arenosus",0,4,0,0,4,0,0,4,0,2,0,0,0,0,0,2,4,0,0,0,0,2,0,2,0,4,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0
"Biffarius limosus",0,4,0,0,4,0,0,4,0,2,0,0,0,0,0,2,4,0,0,0,0,2,0,2,0,4,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0
"Boccardiella limnicola",0,0,0,4,4,0,0,4,0,2,2,0,0,0,0,0,4,0,0,0,0,0,0,2,2,0,4,0,0,0,0,4,0,0,0,0,4,2,2,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0
"Brachidontes rostratus",0,0,0,4,4,0,0,4,0,0,4,0,0,0,0,0,4,0,0,0,2,2,0,0,0,4,0,0,0,0,0,4,0,0,2,0,2,4,0,0,0,0,0,2,2,0,4,0,0,0,0,4,0,0
"Brachidontes sp.",0,0,0,4,4,0,0,4,0,0,4,0,0,0,0,0,4,0,0,0,2,2,0,0,0,4,0,0,0,0,0,4,0,0,2,0,2,4,0,0,0,0,0,2,2,0,4,0,0,0,0,4,0,0
"Brachynotus spinosus",0,4,0,0,0,4,0,4,0,0,0,0,0,2,2,0,4,0,0,2,0,2,0,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0,0,4
"Bulla quoyii",0,2,2,0,4,0,0,4,0,0,0,4,0,0,0,0,4,0,0,0,2,2,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0,4,0,0,0,0,0,0,4,0,4,0,0,0,0,4,0,0
"Byblis sp.",0,0,0,4,0,3,1,4,0,0,1,0,0,1,1,1,4,0,0,0,0,2,0,2,0,0,4,0,0,0,2,2,0,0,2,0,2,0,0,0,4,0,2,2,0,0,0,0,4,0,0,4,0,0
"Cacozeliana granarium",0,2,0,2,0,4,0,4,0,0,0,4,0,0,0,0,4,0,0,0,2,2,0,0,0,0,4,0,0,0,2,2,0,0,2,0,2,4,0,0,0,0,0,4,0,4,0,0,0,0,0,4,0,0
"Cadulus vincentianus ",0,4,0,0,4,0,0,4,0,4,0,0,0,0,0,0,4,0,0,0,0,2,0,2,0,4,0,0,0,0,4,0,0,0,0,3,1,4,0,0,0,0,0,0,4,4,0,0,0,0,0,4,0,0
"Callianassidae",0,4,0,0,4,0,0,4,0,2,0,0,0,0,0,2,4,0,0,0,0,2,0,2,0,4,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0
"Callista kingii",0,0,0,4,4,0,0,4,0,0,4,0,0,0,0,0,4,0,0,0,2,2,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0,4,0,0,0,0,0,0,4,4,0,0,0,0,0,4,0,0
"Capitellidae",0,2,0,2,0,2,2,4,0,2,0,0,0,0,0,2,4,0,0,0,0,0,0,0,4,2,2,0,0,0,2,2,0,0,0,0,4,0,3,1,0,0,0,4,0,0,0,0,2,2,0,0,4,0
"Caprella danilevskii",0,0,4,0,0,4,0,4,0,0,0,0,0,4,0,0,4,0,0,0,0,2,0,2,0,0,4,0,0,0,0,4,0,0,4,0,0,0,0,0,4,0,4,0,0,0,0,0,4,0,0,0,4,0
"Caprellidae",0,0,4,0,0,4,0,4,0,0,1,0,0,1,2,0,4,0,0,0,0,0,2,2,0,0,4,0,0,0,0,4,0,0,4,0,0,0,0,0,4,0,2,2,0,0,0,0,4,0,0,0,4,0
"Cardiidae",0,2,0,2,4,0,0,4,0,0,4,0,0,0,0,0,4,0,0,0,2,2,0,0,0,4,0,0,0,0,2,2,0,0,2,0,2,4,0,0,0,0,0,0,4,4,0,0,0,0,0,4,0,0
"Cardita crassicosta",0,2,0,2,4,0,0,4,0,0,4,0,0,0,0,0,4,0,0,0,2,2,0,0,0,4,0,0,0,0,2,2,0,0,2,0,2,4,0,0,0,0,0,0,4,4,0,0,0,0,0,4,0,0
"Caridea",0,0,4,0,4,0,0,4,0,0,1,0,0,2,1,0,4,0,0,0,0,2,0,2,0,0,4,0,0,0,0,4,0,0,4,0,0,2,2,0,0,0,0,2,2,2,0,0,2,0,0,4,0,0
"Carpoapseudes austroafricanus",0,0,0,4,0,2,2,4,0,0,1,0,0,3,0,0,4,0,0,2,0,2,0,0,0,0,4,0,0,0,2,2,0,0,2,0,2,0,0,0,4,0,0,2,2,0,0,0,4,0,0,0,4,0
"Cassidinopsis lacertosa",0,4,0,0,2,2,0,4,0,1,1,1,0,0,1,0,4,0,0,2,0,2,0,0,0,0,4,0,0,0,2,2,0,0,0,2,2,0,0,0,4,0,4,0,0,0,0,0,4,0,0,0,4,0
"Cellana tramoserica",0,0,4,0,2,2,0,4,0,0,0,4,0,0,0,0,4,0,0,0,2,2,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0,4,0,0,0,0,0,0,4,4,0,0,0,0,0,4,0,0
"Centrocardita rosulenta",0,2,0,2,4,0,0,4,0,0,4,0,0,0,0,0,4,0,0,0,2,2,0,0,0,4,0,0,0,0,2,2,0,0,2,0,2,4,0,0,0,0,0,0,4,4,0,0,0,0,0,4,0,0
"Ceratocumatidae",0,0,0,4,0,3,1,4,0,1,0,0,0,2,1,0,4,0,0,0,0,2,0,2,0,0,4,0,0,0,2,2,0,0,2,0,2,0,0,0,4,0,4,0,0,0,0,0,4,0,0,4,0,0
"Ceratopogonidae",0,0,4,0,0,4,0,4,0,1,0,1,0,2,0,0,4,0,0,0,0,0,0,2,2,0,4,0,0,0,0,4,0,0,4,0,0,0,0,4,0,0,4,0,0,0,0,4,0,0,0,4,0,0
"Cerceis tridentata",0,0,4,0,0,4,0,4,0,0,0,0,0,0,4,0,4,0,0,2,0,2,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0,0,0,0,0,4,0,4,0,0,0,0,4,0,0,0,0,0
"Cerithiidae",0,2,0,2,0,3,1,4,0,0,0,4,0,0,0,0,4,0,0,0,2,2,0,0,0,0,4,0,0,0,2,2,0,0,2,0,2,4,0,0,0,0,0,4,0,4,0,0,0,0,0,4,0,0
"Chama sp.",0,2,0,2,4,0,0,4,0,0,4,0,0,0,0,0,4,0,0,0,2,2,0,0,0,4,0,0,0,0,2,2,0,0,2,0,2,4,0,0,0,0,0,0,4,4,0,0,0,0,0,4,0,0
"Chamaesipho tasmanica",0,0,0,4,2,2,0,0,4,0,4,0,0,0,0,0,0,4,0,2,0,2,0,0,0,0,0,4,0,4,0,0,0,4,0,0,0,0,0,0,4,0,0,4,0,0,0,0,4,0,0,0,2,2
"Chironomidae larvae",0,0,4,0,0,3,1,4,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,2,2,0,4,0,0,0,0,4,0,0,4,0,0,3,0,1,0,0,4,0,0,0,0,4,0,0,0,4,0,0
"Chitonopsis spatulifrons",0,4,0,0,2,2,0,4,0,1,1,1,0,0,1,0,4,0,0,2,0,2,0,0,0,0,4,0,0,0,2,2,0,0,0,2,2,0,0,0,4,0,4,0,0,0,0,0,4,0,0,0,0,0
"Chondrochelia ignota",0,0,0,4,2,2,0,4,0,4,0,0,0,0,0,0,4,0,0,2,0,2,0,0,0,0,4,0,0,0,2,0,2,0,2,0,2,0,0,0,4,0,0,2,2,0,0,0,4,0,0,0,4,0
"Cirolana cranchii",0,0,0,4,0,4,0,4,0,0,0,0,0,2,2,0,4,0,0,2,0,2,0,0,0,0,2,0,2,0,0,4,0,0,4,0,0,0,0,0,4,0,1,3,0,0,0,0,4,0,0,0,4,0
"Cirratulidae",0,4,0,0,1,2,1,4,0,3,1,0,0,0,0,0,4,0,0,0,0,0,0,2,2,0,4,0,0,0,1,2,1,0,0,4,0,0,0,0,4,0,0,4,0,2,0,0,2,0,0,4,0,0
"Cirriformia sp.",0,4,0,0,1,2,1,4,0,3,1,0,0,0,0,0,4,0,0,0,0,0,0,2,2,0,4,0,0,0,1,2,1,0,0,4,0,0,0,0,4,0,0,4,0,2,0,0,2,0,0,4,0,0
"Clanculus dunkeri",0,0,0,4,0,4,0,4,0,0,0,4,0,0,0,0,4,0,0,0,2,2,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0,4,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0
"Clanculus limbatus",0,0,0,4,0,4,0,4,0,0,0,4,0,0,0,0,4,0,0,0,2,2,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0,4,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0
"Clanculus philippi",0,0,0,4,0,4,0,4,0,0,0,4,0,0,0,0,4,0,0,0,2,2,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0,4,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0
"Clanculus plebejus",0,0,0,4,0,4,0,4,0,0,0,4,0,0,0,0,4,0,0,0,2,2,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0,4,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0
"Cominella lineolata",0,1,2,1,4,0,0,4,0,0,0,0,0,0,4,0,4,0,0,0,2,2,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0,0,0,0,0,4,0,2,2,0,0,4,0,0,0,4,0,0
"Condylocardiidae",0,2,0,2,0,0,4,4,0,0,4,0,0,0,0,0,4,0,0,0,2,2,0,0,0,4,0,0,0,0,2,2,0,0,2,0,2,4,0,0,0,0,4,0,0,4,0,0,0,0,0,4,0,0
"Conuber conicum",0,0,0,4,4,0,0,4,0,0,0,0,0,4,0,0,4,0,0,0,2,2,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0,4,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0
"Corophiidae",0,4,0,0,1,3,0,4,0,0,4,0,0,0,0,0,4,0,0,0,0,2,0,2,0,4,0,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0,4,0,0,0,0,0,4,0,0,0,0,4
"Crabyzos longicaudatus",0,0,4,0,0,4,0,4,0,0,0,0,0,0,4,0,4,0,0,2,0,2,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0,0,0,0,4,0,4,0,0,0,0,0,4,0,0,0,4,0
