,"0,0001-0,01","0,01-0,1","0,1-1",1+,0-3,4-7,8-11,12+,Asexual reproduction,Sexual reproduction -shed eggs,Sexual reproduction-brood eggs,Pelagic,Benthic,Soft,Soft-protected (tube/tunic cover),Hard-exoskeleton,Hard shell,Tube,Permament burrow,Temporary burrow,Crevice/hole/under stone,Epizoic/epiphytic,Free,Surface,Interface,Infauna: 0-5cm ,Infauna: 6-10cm ,Infauna: > 10cm ,Low (infauna or flat interface),Moderate (mound interface),High (erect interface),None,Temporary,Permanent,Carnivore,Interface Feeders,Filter Feeders,Surface Deposit Feeders,Subsurface Deposit Feeders,Carnivore/Surface Deposit Feeders,Omnivore/Carnivore,Commensalist/Surface Deposit Feeders,None,Swim,Crawl/creep/climb,Burrowing,Jumping,Sessile,Motile,None,Form-settlement/attatchment site,Form-shelter,Action-sediment accretion,Action-sediment removal
Nephtys ferruginea,3,0,0,0,3,0,0,0,0,0,3,3,0,0,3,0,0,0,0,3,1,0,1,0,3,1,0,0,3,0,0,3,0,0,0,0,0,0,0,0,3,0,3,0,1,0,0,2,1,1,0,0,0,2
Diopatra chilensis,0,1,3,0,3,1,0,0,0,0,3,3,0,0,3,0,0,3,0,0,0,0,0,3,2,2,2,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0,3,0,0,1,0,3,1,0,3,2,0,0
Haploscolopos chilensis,3,0,0,0,3,0,0,0,0,0,3,0,3,0,3,0,0,0,1,2,0,0,0,0,3,1,1,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,3,0,1,0,0,0,3,1,0,0,0,2
Magelona phyllisae,3,0,0,0,3,0,0,0,1,0,3,3,0,0,3,0,0,0,3,0,0,0,0,0,0,3,1,1,3,0,0,3,0,0,0,0,0,0,3,0,0,0,2,0,0,1,0,2,1,1,0,0,0,2
Aricidea pigmentata,3,0,0,0,3,0,0,0,0,0,3,3,0,0,3,0,0,0,3,0,0,0,0,0,0,3,1,1,3,0,0,3,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,2,1,1,0,0,0,2
Halosyna sp.,1,1,2,0,3,0,0,0,0,0,3,3,0,0,3,0,0,0,0,1,0,0,3,3,2,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,1,0,0,0,0
Indeterminado ,0,3,0,0,3,0,0,0,0,0,3,3,1,0,3,0,0,1,3,0,0,0,0,3,1,1,0,0,3,0,0,3,0,0,0,0,2,1,0,0,0,0,2,0,0,1,0,3,0,0,3,0,0,0
Paraprionospio pinnata,3,0,0,0,3,0,0,0,1,0,3,3,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,0,2,0,0,1,0,2,1,1,0,0,0,2
Prionospio peruana,3,0,0,0,3,0,0,0,1,0,3,3,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,0,2,0,0,1,0,2,1,1,0,0,0,2
Spiophanes bombix,3,0,0,0,3,0,0,0,1,0,3,3,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,0,2,0,0,1,0,2,1,1,0,0,0,2
Anthotoe sp.,1,3,0,0,1,1,1,1,2,2,2,2,2,3,0,0,0,0,0,0,2,1,3,3,1,1,1,1,2,2,3,0,3,0,0,0,3,0,0,0,0,0,3,0,1,1,0,3,1,3,0,0,0,0
Antholoaba acates,0,0,0,3,1,1,1,1,2,2,2,2,2,3,0,0,0,0,0,0,2,1,3,3,1,1,1,1,2,2,3,0,3,0,0,0,3,0,0,0,0,0,3,0,1,1,0,3,1,3,0,0,0,0
Ampelisca sp.,3,0,0,0,3,0,0,0,0,3,0,0,3,0,0,3,0,3,0,0,0,0,0,2,2,0,0,0,1,0,3,3,0,0,0,0,0,0,3,0,0,0,0,2,0,2,1,0,3,0,0,0,3,0
Heterophoxus sp.,3,0,0,0,3,0,0,0,0,0,3,3,0,0,0,3,0,0,0,3,0,1,0,2,2,0,0,0,1,2,0,3,0,0,0,0,0,0,3,0,0,0,0,2,2,0,1,0,3,0,0,0,3,0
Aora typica,3,0,0,0,3,0,0,0,0,3,0,0,3,0,0,3,0,0,0,0,0,2,2,3,0,0,0,0,1,2,1,3,3,0,0,0,0,0,0,0,3,0,0,2,2,0,0,0,3,3,0,0,0,0
Eudevenopus gracilipes,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,1,0,2,2,0,0,0,1,2,0,3,0,0,0,0,0,0,3,0,0,0,0,2,0,2,1,0,3,0,0,0,3,0
Betaeus truncatus ,0,1,3,0,2,2,0,0,0,3,0,3,0,0,0,3,0,0,0,1,0,0,3,3,1,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,3,0,0,2,2,1,1,0,3,0,0,0,3,0
Pagurus villosus,0,0,3,0,2,2,0,0,0,3,0,3,0,0,0,1,3,0,0,3,0,0,1,3,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,2,0,0,3,0,0,1,0,0
Pagurus perlatus,0,0,3,0,2,2,0,0,0,3,0,3,0,0,0,1,3,0,0,3,0,0,1,3,2,0,0,0,0,2,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,2,0,0,3,0,0,1,0,0
Pilumnoides perlatus,0,2,2,0,2,0,0,0,0,3,0,3,0,0,0,3,0,0,0,2,2,0,2,3,2,0,0,0,0,2,0,3,0,0,0,0,0,0,0,3,0,0,0,0,2,2,0,0,3,0,0,0,0,3
Platyxanthus cokeri,0,2,3,0,2,0,0,0,0,3,0,3,0,0,0,3,0,0,0,2,1,0,2,3,2,0,0,0,0,2,0,3,0,0,0,0,0,0,0,3,0,0,0,0,2,2,0,0,3,0,0,0,3,0
Petrolisthes desmaresti,0,3,0,0,2,0,0,0,0,3,0,3,0,0,0,3,0,0,0,0,0,0,3,3,2,0,0,0,2,1,0,3,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,3,0
Latreutis antiborealis,0,3,0,0,2,1,0,0,0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,3,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,3,0,0,2,1,1,1,0,3,0,0,0,3,0
Pinnixia transversalis,0,2,2,1,2,1,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,1,3,1,0,1,1,0,3,0,0,0,0,0,0,0,0,0,3,0,0,3,1,0,0,3,1,0,0,0,0
Pinnixa valdiviensis,0,2,2,0,2,1,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,1,3,1,0,1,1,0,3,0,0,0,0,0,0,0,0,0,3,0,0,3,1,0,0,3,1,0,0,0,0
Cancer sp (decapodito),3,0,0,0,1,3,0,0,0,3,0,3,0,0,0,3,0,0,0,0,1,0,3,3,0,0,0,0,1,2,0,3,0,0,0,0,0,0,0,3,0,0,0,0,2,2,0,0,3,0,0,0,0,3
Ophiactis sp.,0,3,0,0,3,0,0,0,2,0,3,3,0,0,2,2,0,0,0,0,0,1,3,3,1,0,0,0,3,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0
Patiria chilensis,0,0,3,0,2,2,0,0,2,0,3,3,0,0,2,2,0,0,0,0,0,1,3,3,1,0,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0
Chiton cumingsi,0,3,0,0,3,0,0,0,0,0,3,3,0,1,0,0,3,0,0,0,0,2,2,3,0,0,0,0,0,3,0,3,1,0,0,0,0,0,0,0,3,0,0,0,3,0,0,1,2,3,0,0,0,0
Aenator fontanei,0,0,0,3,0,3,0,0,0,3,0,3,0,1,0,0,3,0,0,0,0,2,0,3,1,1,0,0,0,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0
Mitrella unifaciata,0,0,3,0,3,0,0,0,0,0,3,3,0,1,0,0,3,0,0,0,0,2,0,3,0,0,0,0,0,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0
Nassarius gayi,0,0,3,0,3,0,0,0,0,0,3,3,0,1,0,0,3,0,0,2,0,1,1,2,2,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3,0,0,0,3,1,0,0,3,3,0,0,0,0
Cancelaria buccinoides,0,0,1,3,3,0,0,0,0,3,0,3,0,1,0,0,3,0,0,0,2,2,0,2,2,0,0,0,0,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0
Priene rude,0,1,1,3,1,2,0,0,0,3,0,3,0,1,0,0,3,0,0,2,0,2,2,2,2,2,0,0,0,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,2,2,0,0,3,0,3,0,0,0
Priene scabrum,0,1,1,3,1,2,0,0,0,3,0,3,0,1,0,0,3,0,0,2,0,2,2,2,2,2,0,0,0,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,2,2,0,0,3,0,3,0,0,0
Oliva peruviana,0,0,0,3,1,2,0,0,0,2,2,3,0,1,0,0,3,0,0,3,0,0,1,2,3,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3,0,0,0,2,2,0,0,3,3,0,0,0,0
Polinices uber,0,0,3,0,2,1,0,0,0,2,2,3,0,1,0,0,3,0,0,3,0,0,1,2,3,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3,0,0,0,2,2,0,0,3,3,0,0,0,0
Xanthochorus cassidiformis,0,0,3,0,1,2,1,0,0,3,0,3,0,1,0,0,3,0,0,0,2,2,0,3,2,0,0,0,0,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,2,2,0,0,3,3,0,0,0,0
Nuculeana cunata,1,3,0,0,3,0,0,0,0,0,3,3,0,1,0,0,3,0,2,2,0,0,0,1,2,1,1,0,0,2,0,3,0,0,0,0,3,0,0,0,0,0,0,0,3,1,0,2,1,3,0,0,0,0
Linucula pisum,1,3,0,0,3,0,0,0,0,0,3,3,0,1,0,0,3,0,2,2,0,0,0,1,2,1,1,0,0,2,0,3,0,0,0,0,3,0,0,0,0,0,0,0,3,1,0,2,1,3,0,0,0,0
